home_office,deal_status,name,created,country,industry,custom_keywords,modified,fund,drive_url,company_name,key,drive_id,document_type,deal_team
Boston,Closed / Unrealized,Project Parthenon CIM (02.28.14)_HIG.pdf,2015-02-02T17:22:27.651000,U.S.,Business Services,"Travel,Hospitality,Electronic Distribution,Hotel Technology,Online Travel Agents",2019-02-22T08:08:35.624561,LBO,,DHISco,"kind:KnowledgeFile2,urlsafe:ahRzfmhpZ2NhcGl0YWwta3BvcnRhbHIbCxIOS25vd2xlZGdlRmlsZTIYgICAgPz2jgoM,id:5695159920492544",,Intermediary CIM,"William Nolan,Bobby Sheth,Caroline Kung,Strother Scott"
Hamburg,Nearly Completed Deal,Project Phaeton - InfoMemo.pdf,2016-03-03T22:21:48.802120,Germany,Manufacturing,"SMT placement machines,Surface mount technology,Carve-out,Siemens,Electronic circuits",2019-02-22T08:08:33.099208,Europe,,Siemens Electronics Assembly System,"kind:KnowledgeFile2,urlsafe:ahRzfmhpZ2NhcGl0YWwta3BvcnRhbHIbCxIOS25vd2xlZGdlRmlsZTIYgICAoOjFiwoM,id:5680276852178944",,Intermediary CIM,"Wolfgang Biedermann,Klaas Reineke,Christian Kraul-von Renner"
Miami,Closed / Unrealized,Project Quail - Confidential Information Memorandum (HIG).pdf,2014-05-27T16:30:32.589870,U.S.,Building Products,"Mining,Building Products,Aggregates,Oil & Gas",2019-02-22T08:09:12.712063,LBO,,Harrison Gypsum,"kind:KnowledgeFile2,urlsafe:ahRzfmhpZ2NhcGl0YWwta3BvcnRhbHIbCxIOS25vd2xlZGdlRmlsZTIYgICAoOi-kgsM,id:6273772613009408",,Intermediary CIM,"Rick Rosen,Keval Patel,Ryan Kaplan,Jesse Greenberg"
Hamburg,Nearly Completed Deal,Project RING - IM - Waddell & Reed.pdf,2016-03-03T22:20:26.824650,Germany,Consumer Products,"Motorsport,race track,Events,Niki Lauda,James Hunt",2019-02-22T08:09:03.521464,Europe,,Nurburgring,"kind:KnowledgeFile2,urlsafe:ahRzfmhpZ2NhcGl0YWwta3BvcnRhbHIbCxIOS25vd2xlZGdlRmlsZTIYgICAwPqe7woM,id:6118746372440064",,Intermediary CIM,"Matthias Allgaier,Johannes Natterer,Niclas Ahrens"
Hamburg,Early Pass,Project Saturn  Information  H.I.G. Capital.pdf,2016-03-03T22:07:27.830660,Germany,Manufacturing,"Access products,boxes,aluminum,ladders",2019-02-22T08:08:30.550812,Europe,,Zarges Tubesca,"kind:KnowledgeFile2,urlsafe:ahRzfmhpZ2NhcGl0YWwta3BvcnRhbHIbCxIOS25vd2xlZGdlRmlsZTIYgICAwPKbhgoM,id:5656846262075392",,Intermediary CIM,Christian Kraul-von Renner
Miami,Closed / Realized,Project Seahawk CIM (09.13.2012)_FINAL.pdf,2015-02-02T16:31:15.033740,U.S.,Aerospace - Defense,"Aerospace,Plastics,Medical,Boeing,Composites",2019-02-22T08:08:48.231675,LBO,,Vaupell Holdings LLC,"kind:KnowledgeFile2,urlsafe:ahRzfmhpZ2NhcGl0YWwta3BvcnRhbHIbCxIOS25vd2xlZGdlRmlsZTIYgICAoLOprgoM,id:5833232180314112",,Lender/Management Presentation,"John Bolduc,Jeff Zanarini,Fabian de Armas,Matt Gullen,Gaurav Golechha,Brandon Howard"
Boston,Active,Project_Galileo_Confidential_Memorandum.pdf,2015-02-02T16:45:26.422910,U.S.,Consumer Products,"Infomercial,Direct Response TV,Direct Marketing,Consumer Products,Media",2019-02-22T08:09:26.354551,LBO,,"Thane International, Inc.","kind:KnowledgeFile2,urlsafe:ahRzfmhpZ2NhcGl0YWwta3BvcnRhbHIbCxIOS25vd2xlZGdlRmlsZTIYgICAoLOpzgsM,id:6536919622090752",,Intermediary CIM,"Sami Mnaymneh,John Von Bargen,Arthur Heller,Caroline Kung,Strother Scott,Jesse Greenberg"
Hamburg,Nearly Completed Deal,Project_Sandman_IM_2010.pdf,2016-03-03T22:20:42.373790,Germany,Consumer Products,"Bedding,Mattresses,Broken auction,Holdco financing,Upholstery Furniture",2019-02-22T08:09:00.368227,Europe,,EuroComfort,"kind:KnowledgeFile2,urlsafe:ahRzfmhpZ2NhcGl0YWwta3BvcnRhbHIbCxIOS25vd2xlZGdlRmlsZTIYgICAwNmN5AoM,id:6069774886895616",,Intermediary CIM,"Wolfgang Biedermann,Christian Kraul-von Renner,Patrick Stein-Kaempfe,Florian Kamps"
Hamburg,Nearly Completed Deal,Projekt Fresh Extra - Discussion Materials 10122007 Final.pdf,2014-05-23T12:53:57.519270,Germany,Consumer Products,"Retail,Metro,Grocery",2019-02-22T08:08:39.088315,Europe,,Extra,"kind:KnowledgeFile2,urlsafe:ahRzfmhpZ2NhcGl0YWwta3BvcnRhbHIbCxIOS25vd2xlZGdlRmlsZTIYgICAwMjelQoM,id:5725107787923456",,Investment Committee Decks (Internal),"Lars Hirche,Jï¿½rn-Marc Vogler,Oliver Wurtenberger"
Boston,Active,Pro-Pet Partner Pres Followup Nov 2010 vF.pdf,2014-05-28T14:22:30.484040,U.S.,Consumer Products,"Pet Food,Niche Manufacturing,Specialty Manufacturing,Private Label,Co-Packing",2019-02-22T08:08:01.888841,LBO,,Pro-Pet LLC,"kind:KnowledgeFile2,urlsafe:ahRzfmhpZ2NhcGl0YWwta3BvcnRhbHIbCxIOS25vd2xlZGdlRmlsZTIYgICAwPrKlgkM,id:5165882108018688",,Investment Committee Decks (Internal),"William Nolan,Todd Ofenloch,Charles Tucker"
Boston,Active,Pro-Pet Partner Presentation vFINAL.pdf,2014-05-28T14:22:42.317900,U.S.,Consumer Products,"Pet Food,Niche Manufacturing,Specialty Manufacturing,Private Label,Co-Packing",2019-02-22T08:09:16.617112,LBO,,Pro-Pet LLC,"kind:KnowledgeFile2,urlsafe:ahRzfmhpZ2NhcGl0YWwta3BvcnRhbHIbCxIOS25vd2xlZGdlRmlsZTIYgICAgJ6HnwsM,id:6329037500710912",,Investment Committee Decks (Internal),"William Nolan,Todd Ofenloch,Charles Tucker"
Dallas,Closed / Unrealized,ProPetro Sep Refi.pdf,2014-05-27T16:49:08.907920,U.S.,Energy Services,"Oil and Gas,Energy,Oilfield Services,Pressure Pumping,Drilling",2019-02-22T08:08:11.684763,WhiteHorse,,ProPetro,"kind:KnowledgeFile2,urlsafe:ahRzfmhpZ2NhcGl0YWwta3BvcnRhbHIbCxIOS25vd2xlZGdlRmlsZTIYgICA4MG1uQkM,id:5319076947689472",,Investment Committee Decks (Internal),"Javier Casillas,Marcus Graham,William Arnold"
Dallas,Closed / Realized,ProPetro Short Version v24.pdf,2014-05-27T16:49:16.671430,U.S.,Energy Services,"Oil and Gas,Energy,Oilfield Services,Pressure Pumping,Drilling",2019-02-22T08:08:10.344654,WhiteHorse,,ProPetro,"kind:KnowledgeFile2,urlsafe:ahRzfmhpZ2NhcGl0YWwta3BvcnRhbHIbCxIOS25vd2xlZGdlRmlsZTIYgICA4MHftQkM,id:5302927870656512",,Investment Committee Decks (Internal),"Javier Casillas,Marcus Graham,William Arnold"
Hamburg,Early Pass,PTK_Investors Information Memorandum 17-09-2012_v1.pdf,2016-03-03T22:18:29.676160,Germany,Technology,"Telecommunications,Eastern Europe",2019-02-22T08:09:20.835324,Europe,,Post and Telekom Kosovo,"kind:KnowledgeFile2,urlsafe:ahRzfmhpZ2NhcGl0YWwta3BvcnRhbHIbCxIOS25vd2xlZGdlRmlsZTIYgICAoKiHtAsM,id:6421399228907520",,Intermediary CIM,"Wolfgang Biedermann,Florian Kamps"
New York,Closed / Realized,Public Presentation.pdf,2014-05-20T15:27:13.265060,U.S.,Business Services,"Payment Processing,Merchant Acquisition",2019-02-22T08:08:49.169150,Bayside,,"iPayment,Inc.","kind:KnowledgeFile2,urlsafe:ahRzfmhpZ2NhcGl0YWwta3BvcnRhbHIbCxIOS25vd2xlZGdlRmlsZTIYgICAgLnHtQoM,id:5865050841546752",,Lender/Management Presentation,"David Robbins,Abbas Hasan,Mike Weiss"
San Francisco,Early Pass,Pulse Seismic Update 5.18.12.pdf,2014-05-28T14:23:00.917380,U.S.,Energy Services,"Energy services,Seismic data,Data library,Data licensing,Oil and gas",2019-02-22T08:07:40.753351,LBO,,Pulse Seismic,"kind:KnowledgeFile2,urlsafe:ahRzfmhpZ2NhcGl0YWwta3BvcnRhbHIbCxIOS25vd2xlZGdlRmlsZTIYgICAgLm9xAgM,id:4804778034987008",,Investment Committee Decks (Internal),"Neil Tuch,Justin Reyna,Amanda Kalin,Michael Kuritzky"
Miami,Active,Purchase Agreement (SPA).pdf,2015-02-02T16:33:34.662710,U.S.,Aerospace - Defense,"Aerospace,Aviation,Aftermarket,Distribution,Boeing",2019-02-22T08:08:14.997042,LBO,,VAS Aero Services LLC,"kind:KnowledgeFile2,urlsafe:ahRzfmhpZ2NhcGl0YWwta3BvcnRhbHIbCxIOS25vd2xlZGdlRmlsZTIYgICAgK-GyAkM,id:5383427704487936",,Investment Committee Decks (Internal),"Bret Wiener,Fabian de Armas,Ryan Kaplan,Brad Armas,Gaurav Goleccha"
